4MB (32Mb) Flash

start(rel)	start		size(max)	end

0x000000	0x40200000	0x001000	0x40200fff	bootloader / stage
0x001000	0x40201000	0x000010	0x4020100f	slot 1 rom header
0x001010	0x40201010	0x0feff0	0x402fffff	slot 1 rom

0x100000	0x40300000	0x001000	0x40300fff	unused
0x101000	0x40301000	0x000010	0x4030100f	slot 2 rom header
0x102010	0x40301010	0x0feff0	0x403fffff	slot 2 rom

0x200000	0x40400000	0x001000	0x40400fff	unused
0x201000	0x40401000	0x000010	0x4040100f	slot 3 rom header
0x202010	0x40401010	0x0feff0	0x404fffff	slot 3 rom

0x300000	0x40500000	0x001000	0x40500fff	bootloader config
0x301000	0x40501000	0x003000	0x40503fff	system config
0x304000	0x40504000	0x003000	0x40506fff	hardware config
0x307000	0x40507000	0x003000	0x40509fff	software config
0x30a000	0x4050a000	0x0ee000	0x405f7fff	unused
0x3f8000	0x405f8000	0x004000	0x405fbfff	sdk rf calibration
0x3fc000	0x405fc000	0x004000	0x405fffff	sdk config


